etnia,sexo,escuela,edad,DEP1,DEP2,DEP3,DEP4,DEP5,DEP6,DEP7,DEP8,GAD1,GAD2,GAD3,GAD4,GAD5,GAD6,GAD7,MSPSS1,MSPSS2,MSPSS3,MSPSS4,MSPSS5,MSPSS6,MSPSS7,MSPSS8,MSPSS9,MSPSS10,MSPSS11,MSPSS12,DEP_Total,GAD_Total,MSPSS_Total
Predominante,Hombre,Publica nacional,16,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,6,7,7,7,7,6,1,7,7,7,6,6,3,0,6.16666666666667
Minoritaria,Hombre,Publica nacional,16,1,0,3,0,2,2,3,0,0,0,0,0,0,2,0,5,2,7,1,5,4,1,3,5,7,7,5,11,2,4.33333333333333
Predominante,Hombre,Publica nacional,18,1,0,2,1,1,0,3,0,0,0,2,1,1,3,0,4,3,3,2,5,6,6,3,3,3,5,3,8,7,3.83333333333333
Minoritaria,Hombre,Publica nacional,15,1,2,3,1,0,1,3,1,1,2,3,0,0,0,3,7,5,7,7,7,6,4,7,6,5,6,4,12,9,5.91666666666667
Predominante,Hombre,Publica nacional,17,1,1,0,1,0,0,1,2,0,0,1,1,0,0,1,5,7,6,6,6,6,4,6,6,5,6,5,6,3,5.66666666666667
Predominante,Hombre,Publica nacional,16,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,4,5,4,6,5,3,6,6,5,7,7,5,1,2,5.25
Minoritaria,Hombre,Publica nacional,17,1,0,2,1,0,0,1,0,0,1,0,0,1,0,2,6,4,7,6,6,4,5,7,6,6,7,5,5,4,5.75
Minoritaria,Hombre,Publica nacional,17,0,0,0,1,0,3,0,1,1,0,1,0,2,1,0,6,6,6,6,6,5,6,4,6,5,5,6,5,5,5.58333333333333
Predominante,Hombre,Publica nacional,17,2,1,0,1,0,1,1,1,1,1,1,1,1,1,0,7,7,2,3,1,6,5,1,6,6,1,6,7,6,4.25
Predominante,Hombre,Publica nacional,17,2,0,2,2,3,1,2,1,1,1,0,0,0,1,1,5,6,4,2,7,6,6,2,6,7,5,6,13,4,5.16666666666667
Minoritaria,Hombre,Publica nacional,17,1,2,3,1,0,0,1,3,1,2,2,1,1,0,0,6,2,7,3,2,3,3,5,3,4,6,4,11,7,4
Minoritaria,Hombre,Publica nacional,17,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,4,5,6,4,5,4,4,5,4,5,5,3,4,2,4.5
Minoritaria,Hombre,Publica nacional,15,3,1,1,0,2,1,3,2,2,1,1,0,0,1,3,4,3,7,5,4,2,3,4,3,6,5,4,13,8,4.16666666666667
Predominante,Hombre,Publica nacional,15,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,7,7,7,7,7,6,6,3,6,7,7,6,2,2,6.33333333333333
Minoritaria,Hombre,Publica nacional,16,2,1,0,1,1,3,3,0,1,1,1,1,3,0,1,2,6,7,7,5,4,2,4,3,2,7,2,11,8,4.25
Minoritaria,Hombre,Publica nacional,16,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,6,1,5
Minoritaria,Hombre,Publica nacional,15,1,1,3,0,1,1,2,2,1,1,2,1,1,1,2,3,5,6,3,5,1,1,6,1,7,3,5,11,9,3.83333333333333
Predominante,Hombre,Publica nacional,16,1,3,3,2,3,3,3,3,2,3,3,2,2,3,3,6,6,7,7,7,5,7,7,3,7,7,2,21,18,5.91666666666667
Minoritaria,Hombre,Publica nacional,15,0,0,1,0,2,0,1,0,0,2,2,0,0,0,1,2,5,3,2,2,1,1,2,1,1,2,1,4,5,1.91666666666667
Predominante,Hombre,Publica nacional,16,0,1,1,0,1,1,1,0,1,0,1,1,0,0,0,6,6,6,6,6,6,6,7,6,7,7,6,5,3,6.25
Predominante,Hombre,Publica nacional,15,2,2,0,0,0,2,2,0,2,3,3,2,2,3,3,6,5,6,6,6,5,5,5,5,5,5,5,8,18,5.33333333333333
Predominante,Hombre,Publica nacional,15,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,4,5,6,6,6,5,5,5,5,5,6,5,3,1,5.25
Predominante,Hombre,Publica nacional,16,0,1,1,1,0,2,1,0,0,0,0,0,0,1,0,2,2,7,6,5,6,6,7,6,7,7,7,6,1,5.66666666666667
Minoritaria,Hombre,Publica nacional,17,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,3,7,7,7,7,6,2,6,6,7,7,6,11,7,5.91666666666667
Predominante,Hombre,Publica nacional,17,2,1,2,1,3,2,3,1,2,3,3,1,2,3,1,6,6,7,5,7,5,5,6,5,7,5,5,15,15,5.75
Minoritaria,Hombre,Publica nacional,16,1,0,0,0,1,0,1,0,1,0,1,1,0,1,1,6,5,7,6,6,5,5,5,4,6,6,4,3,5,5.41666666666667
Minoritaria,Hombre,Publica nacional,15,0,0,0,1,0,0,0,1,1,2,1,0,0,1,0,5,7,7,7,7,5,4,7,7,6,7,4,2,5,6.08333333333333
Predominante,Hombre,Publica nacional,16,2,1,3,1,1,2,3,0,2,2,2,3,0,0,0,5,7,6,6,7,5,5,5,4,5,6,5,13,9,5.5
Predominante,Hombre,Publica nacional,16,0,0,0,3,1,0,3,1,0,3,3,1,3,3,3,1,1,4,4,1,1,1,1,1,4,7,1,8,16,2.25
Minoritaria,Hombre,Publica nacional,14,1,1,0,1,0,0,0,0,1,0,0,1,1,1,0,5,5,7,5,4,5,6,6,6,5,7,7,3,4,5.66666666666667
Predominante,Hombre,Publica nacional,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,1,2,4,7,7,2,2,3,4,3,1,0,3.75
Minoritaria,Hombre,Publica nacional,14,1,2,0,0,0,0,0,0,1,2,2,1,0,0,0,6,6,7,7,7,5,5,4,3,7,6,3,3,6,5.5
Predominante,Hombre,Publica nacional,15,0,3,2,3,3,3,3,1,3,1,3,0,0,3,0,7,1,7,1,7,5,5,3,5,7,7,1,18,10,4.66666666666667
Minoritaria,Hombre,Publica nacional,14,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,7,7,7,7,7,7,7,5,7,7,6,1,4,1,6.25
Predominante,Hombre,Publica nacional,16,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,5,6,7,7,6,5,6,7,7,6,7,5,3,2,6.16666666666667
Minoritaria,Hombre,Publica nacional,15,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,7,7,7,7,7,5,5,5,7,7,7,5,3,1,6.33333333333333
Minoritaria,Hombre,Publica nacional,16,1,0,0,1,0,2,1,1,0,1,0,0,1,1,1,6,5,6,7,6,6,4,6,6,6,7,5,6,4,5.83333333333333
Predominante,Hombre,Publica nacional,15,1,0,0,0,0,0,0,0,0,1,0,3,0,0,0,7,5,6,6,5,5,5,6,5,5,6,5,1,4,5.5
Minoritaria,Hombre,Publica nacional,14,1,3,3,2,1,3,3,0,1,2,1,2,3,2,3,5,7,5,7,4,6,5,7,2,1,3,5,16,14,4.75
Predominante,Hombre,Publica nacional,14,0,0,1,0,0,1,3,0,0,2,2,0,0,1,0,6,6,7,7,7,3,5,4,5,7,7,5,5,5,5.75
Predominante,Hombre,Publica nacional,14,1,1,0,1,0,0,1,1,1,1,1,0,0,1,1,6,6,6,6,6,5,5,6,5,7,6,5,5,5,5.75
Minoritaria,Hombre,Publica nacional,14,1,1,3,1,0,3,1,2,2,3,3,2,1,1,2,5,6,6,6,5,5,5,6,5,6,5,4,12,14,5.33333333333333
Minoritaria,Hombre,Publica nacional,16,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,3,3,7,7,3,2,2,3,2,6,7,2,2,3,3.91666666666667
