Domicilio,Educacion,Sexo,Edad,C19_propio,C19_otros,Severidad_1,Severidad_2,Severidad_3,Reactancia_1,Reactancia_2,Reactancia_3,Reactancia_4,Reactancia_5,Reactancia_6,Reactancia_7,Reactancia_8,Reactancia_9,Reactancia_10,Reactancia_11,Actitud_1,Actitud_2,Actitud_3,NorSocial_1,NorSocial_2,NorSocial_3,NorMoral_1,NorMoral_2,NorMoral_3,Control_1,Control_2,Control_3,Control_4,Intencion_1,Intencion_2,Intencion_3
Poblado,Universitaria,Hombre,61,No,Si,5,4,4,6,2,2,6,6,6,6,4,6,6,6,3,1,1,1,1,1,1,1,1,1,7,1,7,2,2,1
Ciudad_mediana,Secundaria,Hombre,26,No,Si,7,6,6,5,4,5,3,3,6,6,5,4,5,5,5,5,4,4,4,4,4,4,4,3,6,5,5,5,4,4
Ciudad_grande,Universitaria,Hombre,44,No,Si,4,4,4,3,1,1,4,4,5,7,1,7,6,1,1,1,1,4,4,4,1,1,1,7,7,7,7,1,1,1
Ciudad_mediana,Secundaria,Hombre,18,No,Si,4,5,5,4,4,5,5,5,5,6,5,6,7,6,1,1,1,1,1,1,1,1,1,1,7,1,7,1,1,1
Poblado,Universitaria,Hombre,29,No,Si,4,4,5,5,4,3,4,6,6,7,3,5,7,4,4,4,4,4,3,3,4,2,4,4,6,4,4,5,3,3
Poblado,Universitaria,Hombre,43,No,Si,6,4,4,5,3,2,2,6,6,7,1,6,6,1,4,4,4,3,3,3,3,2,2,5,7,7,7,1,1,1
Ciudad_enorme,Secundaria,Hombre,20,No,Si,5,4,5,6,4,4,2,5,6,7,3,5,5,5,5,5,4,6,6,6,5,4,5,6,6,4,5,5,5,6
Ciudad_pequeña,Universitaria,Hombre,55,No,Si,7,5,5,4,4,4,4,4,5,4,4,4,4,4,4,3,4,4,4,4,3,3,3,3,6,4,5,4,3,3
Ciudad_mediana,Universitaria,Hombre,42,No,Si,7,7,7,2,5,5,3,5,7,7,4,7,7,7,6,4,5,5,5,5,7,5,6,4,1,4,4,7,7,7
Ciudad_enorme,Universitaria,Hombre,52,No,Si,6,7,6,6,6,6,7,7,7,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,7,1,1,1,1,1
Ciudad_grande,Universitaria,Hombre,36,No,Si,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,4,4,4,5,4,4,5,5,4,4,4,4,4,5
Ciudad_mediana,Universitaria,Hombre,33,No,Si,6,6,6,5,3,4,4,5,5,5,4,6,5,4,3,3,3,3,3,3,3,3,3,5,5,4,3,3,3,3
Ciudad_grande,Secundaria,Hombre,19,No,Si,6,7,5,2,4,2,2,2,5,5,5,6,6,5,7,4,6,5,5,5,6,6,6,3,6,5,5,6,6,6
Poblado,Universitaria,Hombre,30,No,Si,6,7,6,5,5,5,4,7,6,7,5,5,5,5,7,6,6,6,7,7,7,7,6,7,7,7,7,6,6,6
Poblado,Universitaria,Hombre,29,No,Si,6,5,7,2,3,1,4,5,4,5,2,5,4,4,6,6,5,6,5,6,5,5,5,5,6,5,6,6,4,4
Ciudad_mediana,Universitaria,Hombre,25,No,Si,7,7,7,5,1,1,3,6,4,6,2,4,6,3,1,1,3,1,1,1,1,1,1,1,7,1,1,1,1,1
Ciudad_pequeña,Universitaria,Hombre,28,No,Si,5,5,5,5,4,3,3,6,6,7,4,4,7,5,1,1,3,1,1,1,1,1,1,1,7,1,7,1,1,1
Ciudad_grande,Secundaria,Hombre,25,No,Si,4,3,5,5,5,4,5,5,4,5,4,6,5,5,4,4,4,5,5,4,5,4,5,5,4,4,4,4,5,4
Poblado,Post-secundaria,Hombre,22,No,Si,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Poblado,Universitaria,Hombre,45,No,Si,5,5,5,5,4,5,4,5,5,5,5,5,4,5,3,4,4,4,4,4,5,4,4,4,6,4,3,4,4,4
Ciudad_mediana,Universitaria,Hombre,57,No,Si,5,4,4,3,3,3,4,5,5,5,4,5,5,4,4,4,4,3,5,4,3,3,3,3,7,4,5,4,3,3
Ciudad_pequeña,Secundaria,Hombre,27,No,Si,6,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,3,5,5,4,4,5
Poblado,Post-secundaria,Mujer,44,No,Si,6,6,7,4,4,3,3,5,5,6,3,4,4,4,7,6,6,6,6,6,7,5,6,6,5,5,4,7,7,7
Poblado,Secundaria,Mujer,39,No,Si,6,6,6,4,3,2,4,5,5,5,5,5,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4
Ciudad_mediana,Secundaria,Mujer,64,No,Si,4,4,4,4,4,4,5,6,4,6,4,5,6,4,5,5,5,4,4,4,4,4,4,4,7,4,4,4,4,4
Ciudad_enorme,Universitaria,Mujer,40,No,Si,7,5,5,4,4,3,3,5,5,5,3,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5
Poblado,Universitaria,Mujer,56,No,Si,7,7,7,5,5,4,3,6,7,4,4,5,6,5,6,5,5,6,6,6,4,5,6,5,6,5,4,5,5,5
Ciudad_enorme,Universitaria,Mujer,38,No,Si,6,5,4,3,3,2,5,3,6,5,3,4,4,3,4,2,4,2,2,2,2,2,2,4,7,3,7,2,2,2
Poblado,Secundaria,Mujer,60,No,Si,7,5,5,4,5,4,5,6,6,7,7,7,7,7,5,5,4,4,4,4,5,5,4,3,7,4,1,5,5,5
Ciudad_enorme,Universitaria,Mujer,40,No,Si,7,7,7,4,4,2,2,5,7,5,2,7,4,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Ciudad_grande,Universitaria,Mujer,27,No,Si,3,4,4,4,1,3,3,5,6,6,4,4,4,3,3,4,4,4,4,5,3,2,4,4,6,2,3,3,2,2
Ciudad_pequeña,Secundaria,Mujer,45,No,Si,3,5,7,6,5,5,5,7,6,7,4,7,7,4,2,2,1,2,3,3,2,2,2,1,7,1,7,1,1,1
Ciudad_grande,Técnica,Mujer,57,No,Si,6,7,6,2,3,2,4,3,6,3,3,3,4,4,7,6,5,5,5,4,5,6,6,6,5,5,6,6,6,6
Poblado,Post-secundaria,Mujer,38,No,Si,5,5,5,4,4,4,4,5,5,5,4,4,5,4,4,4,4,4,4,4,4,4,4,5,5,4,5,4,4,4
Poblado,Técnica,Mujer,58,No,Si,7,7,7,3,3,4,3,4,5,4,4,5,5,4,6,6,6,6,5,6,4,6,6,6,7,6,4,5,5,6
Poblado,Universitaria,Mujer,54,No,Si,5,5,4,5,5,4,4,4,4,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5
Ciudad_enorme,Post-secundaria,Mujer,58,No,Si,6,7,7,5,4,4,3,6,5,5,4,6,4,3,4,5,4,4,5,4,5,4,5,3,6,4,3,5,5,4
Ciudad_enorme,Universitaria,Mujer,42,No,Si,6,5,3,5,2,2,2,3,5,5,4,5,6,3,5,5,4,5,5,4,6,4,5,6,6,5,7,5,6,6
