Id;Survey_finish_time;Severity_1;Severity_2;Severity_3;Reactance_1;Reactance_2;Reactance_3;Reactance_4;Reactance_5;Reactance_6;Reactance_7;Reactance_8;Reactance_9;Reactance_10;Reactance_11;Attitude_1;Attitude_2;Attitude_3;Social_norms_1;Social_norms_2;Social_norms_3;Moral_norms_1;Moral_norms_2;Moral_norms_3;Beh_control_1;Beh_control_2;Beh_control_3;Beh_control_4;Intention_1;Intention_2;Intention_3;Residence;Education;Sex;Years_old;Age;Self_sick;Know;Know_recode;Reactance;Severity;Attitude;Beh_Control;Social_norms;Moral_norms;Intention
547;294;7;7;5;4;4;4;4;6;6;7;3;4;5;4;5;3;4;5;5;4;4;4;5;5;7;4;4;5;4;4;4;5;1;22;2;2;2;0;463,636,363,636,364;633,333,333,333,333;4;5;466,666,666,666,667;433,333,333,333,333;433,333,333,333,333
44;265;7;6;6;6;7;6;6;5;5;5;4;4;4;6;7;7;6;6;6;5;6;6;6;6;5;6;5;5;6;6;5;5;1;34;3;2;2;0;527,272,727,272,727;633,333,333,333,333;666,666,666,666,667;5,5;566,666,666,666,667;6;566,666,666,666,667
181;213;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;2;1;50;4;2;2;0;4;4;4;4;4;4;4
401;7234;5;4;5;2;2;2;4;5;4;3;3;4;4;3;6;6;4;4;4;4;5;5;5;7;7;4;7;7;5;5;5;5;0;63;6;2;1;1;327,272,727,272,727;466,666,666,666,667;533,333,333,333,333;6,25;4;5;566,666,666,666,667
479;5495;5;5;5;4;4;3;4;5;5;5;3;5;5;4;5;5;5;4;4;4;4;4;4;4;4;5;5;5;5;5;1;6;0;46;4;2;1;1;427,272,727,272,727;5;5;4,5;4;4;5
582;3806;5;4;5;5;5;1;3;5;5;5;3;3;5;3;4;4;3;3;3;3;3;2;2;3;6;1;1;3;2;2;3;3;0;18;2;2;1;1;390,909,090,909,091;466,666,666,666,667;366,666,666,666,667;2,75;3;233,333,333,333,333;233,333,333,333,333
137;3314;6;6;6;3;4;3;3;4;3;4;3;4;4;5;5;5;4;4;4;4;4;3;4;3;6;3;4;4;3;3;4;6;0;44;4;2;1;1;363,636,363,636,364;6;466,666,666,666,667;4;4;366,666,666,666,667;333,333,333,333,333
69;2875;5;6;5;5;4;5;3;6;5;6;4;5;5;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;0;57;5;2;1;1;472,727,272,727,273;533,333,333,333,333;4;4;4;4;4
206;1921;7;7;7;1;1;2;4;6;6;4;2;5;5;4;7;7;7;4;3;7;7;7;7;7;7;7;7;7;7;7;2;2;0;70;7;2;1;1;363,636,363,636,364;7;7;7;466,666,666,666,667;7;7
398;1682;5;4;4;5;4;3;4;5;5;6;4;5;7;6;1;1;1;1;1;1;1;1;1;1;7;1;7;1;1;1;1;6;0;35;3;2;1;1;490,909,090,909,091;433,333,333,333,333;1;4;1;1;1
325;1427;6;4;4;5;4;3;3;7;7;5;3;5;4;4;4;5;4;4;4;4;4;4;4;2;7;1;3;1;1;3;4;3;0;47;4;2;1;1;454,545,454,545,455;466,666,666,666,667;433,333,333,333,333;3,25;4;4;166,666,666,666,667
328;1192;6;5;4;4;4;4;6;7;5;6;4;6;6;4;3;5;3;4;4;4;3;3;3;3;3;3;4;4;3;2;1;6;0;34;3;2;1;1;509,090,909,090,909;5;366,666,666,666,667;3,25;4;3;3
319;1113;7;7;7;4;4;3;3;6;4;6;4;4;4;4;4;4;4;3;5;3;4;3;4;5;7;5;2;3;3;2;1;6;0;36;3;2;1;1;418,181,818,181,818;7;4;4,75;366,666,666,666,667;366,666,666,666,667;266,666,666,666,667
428;1093;5;6;6;3;3;3;3;5;6;6;4;5;5;4;7;7;7;4;5;4;5;4;6;6;6;4;4;7;4;4;1;3;0;56;5;2;1;1;427,272,727,272,727;566,666,666,666,667;7;5;433,333,333,333,333;5;5
163;1036;7;7;7;4;3;2;4;5;6;4;3;4;4;2;6;6;6;6;6;6;6;6;6;6;4;6;6;6;6;6;3;5;0;63;6;2;1;1;372,727,272,727,273;7;6;5,5;6;6;6
450;957;3;3;4;6;4;3;4;6;6;6;4;4;4;4;2;2;3;2;3;3;2;2;3;4;5;3;3;4;2;2;2;3;0;33;3;2;1;1;463,636,363,636,364;333,333,333,333,333;233,333,333,333,333;3,75;266,666,666,666,667;233,333,333,333,333;266,666,666,666,667
465;949;5;4;4;5;4;4;3;5;6;7;4;5;6;5;6;5;5;6;6;6;5;6;6;5;6;5;4;5;5;5;1;5;0;24;2;2;1;1;490,909,090,909,091;433,333,333,333,333;533,333,333,333,333;5;6;566,666,666,666,667;5
83;860;6;6;6;5;3;3;3;5;5;5;4;4;5;4;1;1;1;2;2;2;2;2;2;4;6;2;2;2;2;2;1;4;0;40;3;2;1;1;418,181,818,181,818;6;1;3,5;2;2;2
564;849;7;4;5;4;3;3;2;6;6;6;2;6;3;5;4;3;5;3;3;3;3;3;3;5;7;4;2;4;4;3;1;4;0;64;6;2;1;1;418,181,818,181,818;533,333,333,333,333;4;4,5;3;3;366,666,666,666,667
121;830;2;4;4;4;2;3;4;6;6;7;4;6;7;4;1;1;1;1;1;1;4;1;1;1;7;1;1;1;1;1;3;4;0;60;5;2;1;1;481,818,181,818,182;333,333,333,333,333;1;2,5;1;2;1
369;737;3;3;3;4;3;2;2;5;3;4;4;3;5;3;2;2;2;2;4;4;2;1;2;1;7;1;7;1;1;1;4;4;0;22;2;2;1;1;345,454,545,454,545;3;2;4;333,333,333,333,333;166,666,666,666,667;1
283;705;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;2;5;4;4;4;4;4;4;4;4;4;4;4;4;4;3;3;0;44;4;2;1;1;4;4;333,333,333,333,333;4;4;4;4
89;654;4;4;4;5;4;4;3;6;4;6;4;5;7;4;4;4;3;2;2;2;2;1;2;4;7;4;4;2;1;1;4;3;0;44;4;2;1;1;472,727,272,727,273;4;366,666,666,666,667;4,75;2;166,666,666,666,667;133,333,333,333,333
505;631;4;5;5;5;3;3;3;4;4;4;3;3;4;4;4;4;4;4;4;4;3;3;3;5;6;3;6;5;4;4;3;6;0;29;2;2;1;1;363,636,363,636,364;466,666,666,666,667;4;5;4;3;433,333,333,333,333
501;629;7;7;7;3;3;3;3;5;6;6;3;6;6;6;7;5;7;5;5;5;6;6;6;6;6;5;7;6;6;6;2;6;0;61;6;2;1;1;454,545,454,545,455;7;633,333,333,333,333;6;5;6;6
591;619;3;3;3;4;4;3;4;5;5;5;4;5;6;4;2;2;1;2;2;2;2;2;2;6;7;4;7;2;2;2;1;3;0;44;4;2;1;1;445,454,545,454,545;3;166,666,666,666,667;6;2;2;2
588;600;6;5;3;3;4;3;4;6;5;5;4;4;7;4;6;3;2;4;5;4;4;5;5;4;6;4;4;5;5;5;3;5;0;25;2;2;1;1;445,454,545,454,545;466,666,666,666,667;366,666,666,666,667;4,5;433,333,333,333,333;466,666,666,666,667;5
558;591;5;3;5;5;5;5;3;5;5;5;5;5;5;5;4;4;4;4;3;3;4;4;4;5;5;6;5;4;4;4;1;4;0;57;5;2;1;1;481,818,181,818,182;433,333,333,333,333;4;5,25;333,333,333,333,333;4;4
42;576;4;5;4;4;2;2;4;5;4;5;3;4;5;4;3;3;3;3;3;2;2;2;2;2;5;1;1;2;1;1;4;5;0;39;3;2;1;1;381,818,181,818,182;433,333,333,333,333;3;2,25;266,666,666,666,667;2;133,333,333,333,333
237;547;7;7;6;2;3;2;1;2;6;4;2;5;6;3;5;5;4;3;4;4;5;4;4;7;7;7;5;4;4;4;3;2;0;63;6;2;1;1;327,272,727,272,727;666,666,666,666,667;466,666,666,666,667;6,5;366,666,666,666,667;433,333,333,333,333;4
473;543;5;5;5;4;4;3;3;5;5;5;3;5;4;4;3;3;3;3;3;3;2;1;3;4;6;1;6;2;2;2;1;3;0;26;2;2;1;1;409,090,909,090,909;5;3;4,25;3;2;2
243;534;6;6;6;4;3;3;4;4;4;5;4;5;6;5;6;5;4;5;5;5;5;4;5;4;5;5;5;5;4;4;4;3;0;44;4;2;1;1;427,272,727,272,727;6;5;4,75;5;466,666,666,666,667;433,333,333,333,333
138;524;4;5;5;4;4;2;4;4;4;5;3;4;5;4;4;4;4;4;3;3;4;4;4;4;5;4;4;4;4;4;1;5;0;24;2;2;1;1;390,909,090,909,091;466,666,666,666,667;4;4,25;333,333,333,333,333;4;4
262;518;6;6;6;5;3;2;4;4;4;4;4;3;2;4;5;4;4;4;4;4;4;5;4;4;6;4;4;5;4;4;4;2;0;51;5;2;1;1;354,545,454,545,455;6;433,333,333,333,333;4,5;4;433,333,333,333,333;433,333,333,333,333
27;516;1;2;2;7;4;4;4;7;7;7;4;7;7;7;1;1;1;4;4;4;1;1;1;4;7;4;4;1;1;1;4;5;0;36;3;2;1;1;590,909,090,909,091;166,666,666,666,667;1;4,75;4;1;1
260;511;4;1;1;4;3;3;3;5;5;5;4;4;6;5;2;2;4;2;2;2;2;1;2;5;7;4;7;1;2;1;1;6;0;29;2;2;1;1;427,272,727,272,727;2;266,666,666,666,667;5,75;2;166,666,666,666,667;133,333,333,333,333
324;505;6;6;6;6;4;4;4;4;4;4;4;5;5;5;5;4;4;4;4;4;4;4;4;4;7;3;3;4;4;4;1;4;0;26;2;2;1;1;445,454,545,454,545;6;433,333,333,333,333;4,25;4;4;4
